,id,first_name,last_name
521,1630591,Jalen,Suggs
522,1631306,Cole,Swider
523,1630256,Jae'Sean,Tate
524,1628369,Jayson,Tatum
525,1630678,Terry,Taylor
526,202066,Garrett,Temple
527,1631207,Dalen,Terry
528,1628464,Daniel,Theis
529,1630271,Brodric,Thomas
530,1630560,Cam,Thomas
531,1641708,Amen,Thompson
532,1641709,Ausar,Thompson
533,1630679,Ethan,Thompson
534,202691,Klay,Thompson
535,202684,Tristan,Thompson
536,1630550,JT,Thor
537,1629680,Matisse,Thybulle
538,1630214,Xavier,Tillman
539,1642260,Nikola,Topić
540,1631210,Jacob,Toppin
541,1630167,Obi,Toppin
542,1626157,Karl-Anthony,Towns
543,1642422,Armel,Traoré
544,1631247,Luke,Travers
545,1629018,Gary,Trent Jr.
546,1631131,Oscar,Tshiebwe
547,1630733,Jordan,Tucker
548,200782,P.J.,Tucker
549,1626167,Myles,Turner
550,1641816,Hunter,Tyson
551,1642281,Jaylon,Tyson
552,1630649,Stanley,Umude
553,202685,Jonas,Valančiūnas
554,1627832,Fred,VanVleet
555,1629020,Jarred,Vanderbilt
556,1630170,Devin,Vassell
557,1629216,Gabe,Vincent
558,1641774,Tristan,Vukcevic
559,202696,Nikola,Vučević
560,1629731,Dean,Wade
561,1630532,Franz,Wagner
562,1629021,Moritz,Wagner
563,1631133,Jabari,Walker
564,1641716,Jarace,Walker
565,1629022,Lonnie,Walker IV
566,1641717,Cason,Wallace
567,1630811,Keaton,Wallace
568,1641775,Jordan,Walsh
569,1642266,Ja'Kobe,Walter
570,1642276,Kel'el,Ware
571,203933,T.J.,Warren
572,1629023,P.J.,Washington
573,1631102,TyTy,Washington Jr.
574,1630322,Lindy,Waters III
575,1630570,Trendon,Watford
576,1641817,Anton,Watson
577,1631212,Peyton,Watson
578,1642377,Jaylen,Wells
579,1641705,Victor,Wembanyama
580,1631104,Blake,Wesley
581,201566,Russell,Westbrook
582,1629632,Coby,White
583,1628401,Derrick,White
584,1641727,Dariq,Whitehead
585,1641715,Cam,Whitmore
586,1630598,Aaron,Wiggins
587,203952,Andrew,Wiggins
588,1631214,Alondes,Williams
589,1630314,Brandon,Williams
590,1642262,Cody,Williams
591,1629684,Grant,Williams
592,1631114,Jalen,Williams
593,1631119,Jaylin,Williams
594,1629026,Kenrich,Williams
595,1631109,Mark,Williams
596,1631466,Nate,Williams
597,1630172,Patrick,Williams
598,1630533,Ziaire,Williams
599,1629057,Robert,Williams III
600,1631246,Vince,Williams Jr.
601,1629627,Zion,Williamson
602,1630592,Jalen,Wilson
603,1630164,James,Wiseman
604,1626174,Christian,Wood
605,1642473,Moses,Wood
606,1626153,Delon,Wright
607,1627824,Guerschon,Yabusele
608,1642385,Cui,Yongxi
609,1629027,Trae,Young
610,203469,Cody,Zeller
611,1627826,Ivica,Zubac
612,1641783,Tristan,da Silva
613,1628427,Vlatko,Čančar
614,203967,Dario,Šarić
